ID Cliente,Nome do Cliente,Data da Instalação,Tipo de Instalação,Endereço (Rua),Bairro,Cidade,Estado,CEP,Valor do Serviço (R$),Tipo de Pagamento,Nº Parcelas,Instituição Financeira,Origem do Cliente,Avaliação (1-5),Comentário do Cliente,Sistema (kWp),Nº de Placas,Indicação de Quem?,Vendedor Responsável
CLI430,Luiz Otávio Jesus,2023-08-09,Residencial,"Estação de Martins, 1667",Barão Homem De Melo 1ª Seção,Jesus,ES,13694664,31099.89,Boleto,0,,Google,4,Placeat quos doloremque est blanditiis ipsa.,12.6,37,,Bruno Silva
CLI431,José Pedro Vargas,2024-07-20,Rural,"Alameda de da Rocha, 1035",Cidade Jardim,Araújo,RS,75708-996,45233.85,À Vista,0,,Mídias Sociais,3,Quasi voluptatibus nulla assumenda.,6.1,18,,Ana Clara
CLI432,Heloisa Aragão,2024-04-18,Rural,"Sítio Campos, 1496",Marieta 2ª Seção,da Cunha de Fonseca,PE,95603-714,8756.36,Financiamento Bancário,24,Caixa Econômica Federal,Parceria,2,Earum nobis placeat.,11.7,37,,Bruno Silva
CLI433,Gael Santos,2023-09-17,Industrial,"Setor Garcia, 1080",Satelite,Novais da Praia,CE,21918901,39993.1,Financiamento Bancário,48,Itaú,Mídias Sociais,1,,18.5,48,,Bruno Silva
CLI434,Laura Aparecida,2023-11-06,Comercial,"Conjunto de Lima, 1410",Vila Jardim Montanhes,da Rocha do Campo,BA,78320880,18113.44,Financiamento Bancário,24,Bradesco,Site da Empresa,3,Vitae facere possimus.,12.6,38,,Carlos Oliveira
CLI435,Marina Vasconcelos,2024-09-22,Residencial,"Rua Sousa, 141",Universo,da Rocha do Sul,TO,97290-271,15529.13,À Vista,0,,Outro,5,Totam dolorem officiis omnis temporibus.,7.1,19,,Fernanda Lima
CLI436,Gabriel Teixeira,2024-06-22,Industrial,"Travessa Heloisa Lopes, 1490",Nazare,da Paz,SC,87694-939,27946.08,Financiamento Bancário,24,Sicoob,Panfleto,2,Atque ab ex qui est nemo.,14.6,47,,Carlos Oliveira
CLI437,Bella Rocha,2023-09-03,Comercial,"Trecho Théo Guerra, 1073",Pedreira Padro Lopes,Montenegro das Pedras,GO,68107-240,42022.9,Financiamento Bancário,72,Nubank,Site da Empresa,2,,14.8,50,,Diana Santos
CLI438,Noah Correia,2023-07-28,Industrial,"Loteamento de Abreu, 893",Vila Nova Gameleira 1ª Seção,da Luz,RS,05876887,13969.89,Boleto,0,,Feira/Evento,2,,9.0,24,,Carlos Oliveira
CLI439,Dra. Maria Luiza Câmara,2024-07-29,Comercial,"Quadra Costa, 1213",Casa Branca,Gonçalves de Gonçalves,PE,46196-503,44638.72,Cartão de Crédito,12,Mastercard,Outro,5,,7.8,27,,Eduardo Costa
CLI440,João Lucas da Rosa,2025-03-18,Rural,"Residencial Maya Santos, 266",São Jorge 2ª Seção,Mendes,PE,29205746,17980.18,Boleto,0,,Outro,1,Animi nostrum quasi esse enim unde.,5.5,15,,Bruno Silva
CLI441,Lara Gonçalves,2025-01-28,Comercial,"Residencial Cecília da Conceição, 1444",Vila Fumec,Cirino de das Neves,PE,07515-146,10060.33,Boleto,0,,Mídias Sociais,1,,6.6,16,,Fernanda Lima
CLI442,Maria Clara Macedo,2024-05-10,Comercial,"Trevo de Lima, 673",Conjunto Califórnia Ii,Abreu das Pedras,PI,07130-083,65398.5,À Vista,0,,Indicação,1,Magnam facere inventore tenetur quibusdam provident officia.,7.6,19,Dom Brito,Diana Santos
CLI443,Fernando Martins,2025-05-06,Residencial,"Trecho de Teixeira, 1047",Diamante,Nunes,MA,77574744,40900.36,Boleto,0,,Indicação,1,,13.9,37,Hellena da Rosa,Fernanda Lima
CLI444,João Vitor Caldeira,2024-12-04,Industrial,"Fazenda Câmara, 500",Santa Tereza,Andrade,AM,72855-901,7251.67,Boleto,0,,Indicação,2,Similique consequatur alias natus praesentium corrupti accusantium.,8.1,28,Maria Flor Barbosa,Bruno Silva
CLI445,Lucas Gabriel Souza,2024-04-11,Residencial,"Trevo de Melo, 1512",Jardinópolis,Jesus do Galho,AM,35315869,73248.72,Cartão de Crédito,6,Elo,Google,4,Tempora mollitia esse eligendi repellat ipsam ut.,12.2,32,,Eduardo Costa
CLI446,Isabela Jesus,2024-12-31,Comercial,"Rua de Barros, 997",Nova Cachoeirinha,da Mota de Caldeira,PA,99073-039,45508.0,À Vista,0,,Mídias Sociais,3,Nulla temporibus dolor laudantium.,14.1,47,,Eduardo Costa
CLI447,Ana Laura Gomes,2023-10-06,Industrial,"Residencial Yasmin Costela, 648",Conjunto Minas Caixa,Silva de Goiás,RS,14708-054,13471.58,Financiamento Bancário,84,Santander,Feira/Evento,1,Molestias esse voluptatum maiores temporibus.,19.2,63,,Carlos Oliveira
CLI448,Mateus Vargas,2024-11-08,Comercial,"Avenida de Carvalho, 1127",Acaba Mundo,Araújo,SC,62584460,34426.8,À Vista,0,,Mídias Sociais,4,Quidem at sunt voluptas ea cumque.,9.8,28,,Eduardo Costa
CLI449,João Felipe Barbosa,2025-03-12,Residencial,"Condomínio de Gonçalves, 526",Cdi Jatoba,Garcia do Galho,BA,98516067,5110.18,Cartão de Crédito,3,Elo,Site da Empresa,4,Dolor autem quia nulla non deleniti.,15.7,40,,Fernanda Lima
CLI450,Lívia Cirino,2024-11-23,Residencial,"Chácara Câmara, 104",Maria Goretti,Andrade de Minas,AM,44245-808,10384.37,Financiamento Bancário,24,Sicoob,Indicação,5,Ratione aliquid ratione neque necessitatibus.,11.5,30,Luiz Miguel Dias,Fernanda Lima
CLI451,Levi Siqueira,2025-03-15,Comercial,"Avenida Carvalho, 107",Jardim América,Melo,ES,70243-683,16652.13,Financiamento Bancário,72,Caixa Econômica Federal,Parceria,2,Odit distinctio aperiam.,4.1,11,,Ana Clara
CLI452,Pedro Miguel Sousa,2024-03-17,Industrial,"Praia de da Rosa, 610",Vila São Gabriel Jacui,Fonseca,AL,39122-111,16072.15,À Vista,0,,Mídias Sociais,2,Ad ipsam dolor quam optio libero magnam.,2.3,6,,Bruno Silva
CLI453,Valentina Borges,2025-02-21,Rural,"Área Costela, 903",Vila Da Ária,Guerra de Dias,DF,98046429,64984.67,Boleto,0,,Google,1,,10.9,37,,Carlos Oliveira
CLI454,Lucca Souza,2025-01-21,Rural,"Vale Caio Pastor, 1262",Vila Jardim Alvorada,Cirino,TO,42537154,75631.29,À Vista,0,,Outro,3,Libero sit corporis modi.,17.1,56,,Diana Santos
CLI455,Ana Beatriz Nunes,2023-10-29,Rural,"Quadra Silva, 137",Vila Olhos D'água,Almeida,MT,14892-060,66518.45,Financiamento Bancário,48,Santander,Mídias Sociais,5,Dolore totam mollitia impedit perspiciatis ea incidunt.,9.8,30,,Ana Clara
CLI456,Maria Luiza Rodrigues,2025-03-20,Rural,"Núcleo de Brito, 377",Nova America,Novais,MS,11661-357,54569.89,Boleto,0,,Feira/Evento,5,Debitis repudiandae rerum occaecati provident illo.,5.7,18,,Eduardo Costa
CLI457,Maria Luísa Lopes,2024-10-15,Residencial,"Sítio Montenegro, 1673",Fazendinha,Moraes de Sá,CE,49482-711,62534.13,À Vista,0,,Mídias Sociais,2,Dicta rem est magni provident.,15.2,42,,Eduardo Costa
CLI458,Ana Vitória Pinto,2023-10-14,Comercial,"Favela de Azevedo, 1064",Confisco,Moraes da Serra,PA,20190-404,73114.75,Financiamento Bancário,36,Nubank,Panfleto,3,Nostrum amet libero ut ad aliquam id.,15.6,51,,Eduardo Costa
CLI459,Alexia Macedo,2024-12-28,Comercial,"Residencial Araújo, 1161",Mariano De Abreu,Garcia,TO,59410168,17766.86,Financiamento Bancário,24,Nubank,Parceria,3,Officia nostrum deleniti eum vero inventore.,3.7,9,,Diana Santos
CLI460,Vinícius Sá,2024-04-12,Comercial,"Aeroporto Correia, 296",Nova Vista,Barros,SP,88296550,29131.44,Cartão de Crédito,12,Visa,Mídias Sociais,5,,11.4,33,,Bruno Silva
CLI461,Theodoro Andrade,2025-05-02,Comercial,"Setor de Gonçalves, 737",Madri,Barros de Cavalcante,AM,22640-887,21078.43,Financiamento Bancário,36,Caixa Econômica Federal,Outro,4,,11.5,35,,Bruno Silva
CLI462,Mathias Garcia,2024-12-19,Comercial,"Área Vieira, 649",Ipiranga,Pereira,RR,29282300,39621.01,Financiamento Bancário,24,Outro,Mídias Sociais,2,Eaque quis minus accusamus perspiciatis.,8.1,20,,Diana Santos
CLI463,Sabrina Moura,2024-08-13,Residencial,"Área Maria Sophia Mendes, 1285",Distrito Industrial Do Jatoba,Leão,PR,69622053,6206.78,Financiamento Bancário,84,Sicoob,Indicação,3,,6.4,20,Davi Luiz Novais,Carlos Oliveira
CLI464,Maria Flor Araújo,2023-08-08,Rural,"Via da Cruz, 873",Jardim Guanabara,Marques de Correia,PE,92739524,42071.01,Financiamento Bancário,48,Itaú,Panfleto,1,Officiis deleniti ad nemo fugiat.,15.2,49,,Ana Clara
CLI465,Maria Luiza Souza,2023-11-30,Rural,"Viaduto Giovanna Ribeiro, 843",Dona Clara,Gonçalves de Minas,RS,11051058,34229.51,À Vista,0,,Google,2,Iure voluptatum beatae.,19.3,49,,Fernanda Lima
CLI466,Guilherme Moreira,2025-05-23,Comercial,"Fazenda Guerra, 1749",Ambrosina,da Luz da Prata,RR,65351618,38877.2,À Vista,0,,Google,1,Asperiores quisquam odio accusantium quos accusamus.,9.2,24,,Eduardo Costa
CLI467,Luísa Sampaio,2024-08-04,Comercial,"Vila Alexandre Leão, 1891",Parque São Pedro,Santos das Flores,RR,59356130,41783.15,Boleto,0,,Feira/Evento,3,,19.6,66,,Diana Santos
CLI468,Pedro Lucas Ribeiro,2023-06-21,Residencial,"Sítio Felipe Sousa, 1253",Alto Das Antenas,Silva Paulista,RN,72973926,32457.16,Boleto,0,,Panfleto,1,,12.7,38,,Fernanda Lima
CLI469,Liz Rodrigues,2025-03-10,Rural,"Ladeira Amanda Castro, 1948",São Sebastião,Moreira de Vieira,PI,83835103,20541.19,Boleto,0,,Site da Empresa,1,Natus aperiam corrupti quis doloribus quo.,10.0,25,,Ana Clara
CLI470,Bella Sampaio,2024-12-18,Rural,"Colônia Guerra, 1586",Vila Nova Gameleira 3ª Seção,Mendes das Flores,BA,83015928,21475.47,Financiamento Bancário,60,Sicoob,Mídias Sociais,4,Velit ut quos labore.,5.0,17,,Fernanda Lima
CLI471,Srta. Bianca Silva,2024-06-21,Rural,"Vila Cavalcante, 1982",Jardim Alvorada,Gonçalves de Moreira,PB,11207082,56711.1,Financiamento Bancário,48,Bradesco,Outro,2,Esse ipsa eius sint eos quas.,19.4,50,,Carlos Oliveira
CLI472,Lorenzo Lopes,2024-03-20,Residencial,"Via de Moreira, 1146",Vila Nova Gameleira 2ª Seção,Andrade Alegre,RN,52870-787,14800.09,Boleto,0,,Panfleto,3,Necessitatibus dolore natus dolorem dolores.,2.0,6,,Ana Clara
CLI473,Sr. Valentim da Luz,2023-07-13,Industrial,"Trecho Maria Machado, 881",Goiania,Siqueira de Freitas,SP,35928-823,68410.31,Boleto,0,,Panfleto,5,Nemo occaecati dolore reprehenderit ut dolores distinctio voluptatibus.,11.4,37,,Eduardo Costa
CLI474,Luiz Henrique Fernandes,2025-05-29,Rural,"Lagoa de Araújo, 1991",Lourdes,Nogueira do Sul,PR,66781973,37767.71,À Vista,0,,Mídias Sociais,2,Harum necessitatibus aperiam ea reiciendis assumenda voluptatibus.,4.0,13,,Ana Clara
CLI475,Sr. Théo Vieira,2023-12-09,Residencial,"Esplanada Levi Araújo, 646",Monte São José,Fernandes,GO,07444-337,14405.95,À Vista,0,,Feira/Evento,5,Sit dolor laudantium suscipit sed.,3.5,10,,Fernanda Lima
CLI476,Anna Liz Pinto,2024-08-02,Residencial,"Condomínio de da Cruz, 782",Vila Maria,Correia,TO,22519313,74932.55,Boleto,0,,Outro,3,Excepturi delectus soluta amet nobis dolor accusantium omnis.,16.8,48,,Ana Clara
CLI477,Giovanna Mendonça,2023-10-17,Residencial,"Estrada da Cruz, 135",Grota,Casa Grande da Prata,SP,29062-111,8819.6,Cartão de Crédito,6,Elo,Indicação,5,,10.3,26,Benjamim Ferreira,Ana Clara
CLI478,João Lucas Pimenta,2025-03-05,Industrial,"Fazenda Macedo, 866",Miramar,Silveira Grande,ES,45853-179,25136.0,À Vista,0,,Site da Empresa,5,Rerum accusamus voluptates quibusdam repellat.,19.3,64,,Eduardo Costa
CLI479,Manuella Silva,2025-01-04,Industrial,"Vila de Duarte, 786",Vila Real 1ª Seção,da Rosa,AM,77222708,19854.05,Cartão de Crédito,3,Elo,Google,3,Harum laudantium hic nihil.,2.2,5,,Fernanda Lima
CLI480,Gael Duarte,2024-12-07,Residencial,"Distrito Machado, 507",Santa Terezinha,da Mata,RJ,00743924,71271.27,À Vista,0,,Indicação,3,Quaerat quas dolore reiciendis porro sit corrupti.,15.6,40,Laura Gomes,Fernanda Lima
CLI481,Carolina Aparecida,2023-06-14,Industrial,"Conjunto Manuella da Conceição, 1932",Camargos,Brito,MT,17014520,49856.96,Cartão de Crédito,12,Mastercard,Indicação,4,,8.9,23,Benjamim Aragão,Bruno Silva
CLI482,Danilo Cavalcanti,2023-09-02,Industrial,"Fazenda Campos, 1300",Vila São Gabriel,Lima Alegre,PI,14719242,7017.23,Financiamento Bancário,60,Sicoob,Outro,1,Nam nisi odio nostrum rerum minus.,8.4,25,,Eduardo Costa
CLI483,Dr. Luiz Henrique Camargo,2023-10-23,Rural,"Praça de Ribeiro, 129",Renascença,Carvalho,PB,84089-481,38007.55,À Vista,0,,Google,1,Illo deserunt quisquam ex.,3.0,7,,Ana Clara
CLI484,José Pedro Novais,2025-05-11,Comercial,"Alameda Mathias da Cruz, 916",Engenho Nogueira,Pinto de Moura,GO,43309264,77010.22,Cartão de Crédito,6,Visa,Google,2,Occaecati et aperiam cumque illo minus nemo numquam.,6.5,21,,Diana Santos
CLI485,Srta. Aylla Melo,2023-09-24,Industrial,"Largo de Souza, 1392",Aguas Claras,Mendonça da Prata,PB,56481-007,25485.6,À Vista,0,,Panfleto,1,Fugit alias occaecati.,5.1,14,,Ana Clara
CLI486,Pedro Miguel Pinto,2024-09-01,Comercial,"Recanto Maria Luísa Martins, 1324",Satelite,Gomes do Amparo,RN,79560754,12420.42,À Vista,0,,Feira/Evento,2,Nemo similique reiciendis blanditiis fugit voluptas fugiat.,12.0,37,,Ana Clara
CLI487,Dr. Lucas Gabriel Araújo,2024-11-30,Residencial,"Praia de da Cunha, 567",Alta Tensão 1ª Seção,Rodrigues de Rodrigues,RS,47117-039,58918.94,À Vista,0,,Indicação,5,,17.8,51,Raquel Sousa,Carlos Oliveira
CLI488,Emanuel Ribeiro,2024-04-10,Industrial,"Passarela Stephany Moraes, 1603",Conjunto Providencia,Nogueira do Galho,PR,15082-910,15456.19,Boleto,0,,Google,1,,12.6,39,,Ana Clara
CLI489,Lorena Fonseca,2024-09-01,Rural,"Quadra Larissa da Rocha, 1327",Nova Floresta,Costela Verde,SP,98733792,54223.31,À Vista,0,,Panfleto,3,Aperiam sequi saepe cumque quidem.,14.4,43,,Eduardo Costa
CLI490,Marina Melo,2025-03-22,Industrial,"Conjunto de Araújo, 664",Itatiaia,da Conceição do Oeste,AM,47279967,29941.97,Boleto,0,,Site da Empresa,2,Magnam distinctio nobis.,13.7,40,,Diana Santos
CLI491,Lavínia Monteiro,2025-03-11,Residencial,"Viela Macedo, 1992",Chácara Leonina,Vasconcelos,AL,13865343,11545.65,Cartão de Crédito,6,Elo,Outro,2,,13.4,40,,Ana Clara
CLI492,Isabella da Cunha,2024-07-08,Industrial,"Chácara Benjamim Teixeira, 555",Parque São José,Cardoso da Praia,AP,95258324,50585.9,Financiamento Bancário,24,Bradesco,Site da Empresa,1,,16.5,45,,Ana Clara
CLI493,Sabrina Aragão,2024-09-19,Rural,"Alameda Alves, 341",Novo São Lucas,Araújo das Pedras,RR,82152-001,47414.42,Boleto,0,,Google,3,Saepe molestias officiis minima minus incidunt.,5.0,14,,Diana Santos
CLI494,Rafaela Carvalho,2023-11-28,Residencial,"Viaduto Ágatha Azevedo, 795",Confisco,Viana,AM,77680193,20492.45,Cartão de Crédito,12,Elo,Outro,4,Dolores commodi expedita non.,7.5,24,,Bruno Silva
CLI495,Vitória Macedo,2024-09-06,Comercial,"Área Evelyn Abreu, 837",Vale Do Jatoba,Barbosa de Lima,AM,88915-411,42475.55,Financiamento Bancário,36,Nubank,Site da Empresa,4,Officiis sapiente velit ducimus quo nam.,2.8,7,,Fernanda Lima
CLI496,Srta. Maria Cecília Correia,2023-10-02,Industrial,"Travessa Garcia, 334",Copacabana,Martins de Jesus,TO,67763581,59691.39,À Vista,0,,Outro,4,Amet quisquam laudantium facere eos occaecati qui.,7.2,22,,Fernanda Lima
CLI497,Dr. Brayan Lopes,2024-12-22,Industrial,"Sítio de Andrade, 536",Jaraguá,Guerra de Costa,GO,77153238,32945.8,Cartão de Crédito,3,Mastercard,Feira/Evento,3,,16.0,55,,Bruno Silva
CLI498,Dra. Vitória Peixoto,2023-06-20,Comercial,"Chácara Rhavi Santos, 437",Jardim Do Vale,Pastor,RS,89604-860,50718.87,Financiamento Bancário,48,Outro,Google,1,Occaecati ipsum consectetur molestiae.,10.0,25,,Ana Clara
CLI499,Luiz Fernando Fernandes,2024-07-26,Industrial,"Viela Cavalcanti, 485",Santa Rita De Cássia,Sousa do Galho,MS,55593122,35853.58,Cartão de Crédito,12,Elo,Google,4,Maiores veritatis sed pariatur voluptatibus fuga.,6.2,15,,Carlos Oliveira
CLI500,Isaque Peixoto,2023-08-04,Residencial,"Avenida Sofia Mendes, 220",Lagoinha Leblon,Castro,MA,60513-252,78063.47,Financiamento Bancário,60,Santander,Mídias Sociais,5,Unde neque natus dignissimos dolores in necessitatibus a.,12.3,32,,Carlos Oliveira
CLI501,Josué Garcia,2023-12-27,Comercial,"Aeroporto Melo, 157",Padre Eustáquio,Souza,SC,32396378,55262.67,Financiamento Bancário,48,Itaú,Mídias Sociais,2,Ad nesciunt exercitationem quia.,12.9,43,,Bruno Silva
CLI502,Daniel Andrade,2025-05-01,Residencial,"Quadra Milena Mendonça, 1775",Vila Nova Gameleira 2ª Seção,Porto de Pastor,PB,88193103,56644.66,Cartão de Crédito,6,Elo,Google,1,Beatae non voluptates sunt corporis.,17.4,60,,Ana Clara
CLI503,Gabriela Costa,2023-10-15,Comercial,"Quadra Almeida, 1973",Suzana,Guerra,AC,32627057,49793.97,À Vista,0,,Panfleto,5,,8.9,22,,Fernanda Lima
CLI504,Ísis Rocha,2025-01-30,Comercial,"Fazenda Barros, 420",Ápia,Montenegro,CE,47640-853,22584.79,Financiamento Bancário,72,Outro,Indicação,5,Sit dolorum est nobis.,2.1,6,Noah Sousa,Bruno Silva
CLI505,João Guilherme Sampaio,2023-06-24,Industrial,"Praça Moreira, 153",Ventosa,da Cunha das Flores,AL,62361-653,78390.22,À Vista,0,,Panfleto,5,Itaque neque libero magni nam sunt accusamus.,19.1,64,,Bruno Silva
CLI506,Henrique Brito,2024-10-21,Comercial,"Feira Araújo, 1374",Pousada Santo Antonio,Freitas,SC,21343136,30329.83,À Vista,0,,Mídias Sociais,5,Expedita eius quisquam sed odio.,4.3,13,,Carlos Oliveira
CLI507,Sr. Thales Macedo,2025-02-20,Comercial,"Alameda da Cruz, 1046",Coração De Jesus,Borges das Flores,SE,09728523,39694.35,Cartão de Crédito,3,Visa,Google,2,,14.7,43,,Ana Clara
CLI508,Maria Alice Almeida,2023-11-30,Comercial,"Aeroporto de da Mota, 190",Vila Real 1ª Seção,Moreira de da Mata,RO,39232467,35192.92,Cartão de Crédito,6,Visa,Google,2,Fugiat in minus pariatur reiciendis necessitatibus odio quod.,9.1,29,,Eduardo Costa
CLI509,Luna Aragão,2023-10-06,Comercial,"Chácara Emanuella Sales, 301",Lajedo,Duarte do Galho,DF,89859670,25996.13,À Vista,0,,Outro,3,Soluta pariatur officia inventore quas ullam nam.,14.9,43,,Eduardo Costa
CLI510,Ana Lívia da Conceição,2024-02-05,Residencial,"Viaduto de Gomes, 866",Nossa Senhora Da Aparecida,Melo de Duarte,PA,75120349,7856.2,Financiamento Bancário,60,Banco do Brasil,Feira/Evento,3,Voluptates aut alias sint suscipit.,15.8,46,,Carlos Oliveira
CLI511,Ravi Lucca Almeida,2024-06-13,Comercial,"Viela de Cardoso, 418",Vera Cruz,Vargas de Minas,RR,19720103,53300.95,Financiamento Bancário,60,Santander,Outro,5,,11.6,40,,Ana Clara
CLI512,Luiz Felipe Sampaio,2025-05-16,Comercial,"Lago de Machado, 1001",Mariquinhas,Brito,ES,04130252,26971.39,Financiamento Bancário,36,Sicoob,Mídias Sociais,5,Provident officiis id eligendi molestiae doloremque.,2.7,9,,Ana Clara
CLI513,Luigi Azevedo,2024-03-02,Rural,"Feira de Moura, 1517",João Pinheiro,Sampaio,PB,19762495,58037.57,Financiamento Bancário,24,Santander,Site da Empresa,2,Unde voluptatibus quisquam id consequatur nisi facilis.,12.0,34,,Diana Santos
CLI514,Luara Rodrigues,2024-11-21,Comercial,"Viela de Lopes, 1295",Embaúbas,Câmara,PE,79964848,42165.57,Boleto,0,,Outro,2,,16.4,41,,Bruno Silva
CLI515,Alexia Cunha,2023-12-23,Comercial,"Vereda Davi Montenegro, 1764",Primeiro De Maio,Cavalcanti,PE,85748-436,10715.79,Financiamento Bancário,72,Bradesco,Mídias Sociais,3,Illo voluptatem illum quos enim.,4.9,14,,Ana Clara
CLI516,Emanuella Melo,2024-07-07,Comercial,"Distrito de Monteiro, 1168",Novo Das Industrias,da Mota,RR,05584-644,39952.63,Cartão de Crédito,3,Visa,Site da Empresa,3,Voluptatem incidunt eius adipisci dolorem maxime.,15.1,41,,Bruno Silva
CLI517,Lucas Gabriel Moura,2023-11-02,Industrial,"Recanto de Lopes, 1492",Vila Aeroporto Jaraguá,Marques,MT,21385-431,15883.63,Financiamento Bancário,60,Outro,Parceria,5,Tempore facilis velit.,14.3,45,,Carlos Oliveira
CLI518,Léo Andrade,2024-04-08,Residencial,"Esplanada de Marques, 499",Nossa Senhora Aparecida,Vieira Grande,SE,79379060,78729.75,À Vista,0,,Feira/Evento,5,Consequuntur officiis eligendi minima voluptas.,15.2,41,,Diana Santos
CLI519,Sra. Luana Sousa,2023-07-08,Rural,"Trevo Carolina Ramos, 1760",Serra Do Curral,Viana de Silva,AC,59657-454,9728.99,À Vista,0,,Feira/Evento,3,Eos nihil quia quibusdam fuga delectus.,5.4,16,,Fernanda Lima
CLI520,Alexia Macedo,2024-03-12,Rural,"Recanto Aragão, 1154",Vila Primeiro De Maio,Cavalcante,PR,67371569,62231.97,À Vista,0,,Panfleto,2,,18.1,52,,Diana Santos
CLI521,Dante Cirino,2024-03-19,Residencial,"Rua Garcia, 1544",Vila Pinho,Cunha da Prata,RS,65032789,78742.05,À Vista,0,,Parceria,3,,6.1,20,,Carlos Oliveira
CLI522,Emilly da Conceição,2023-09-08,Rural,"Trecho de Mendonça, 1083",Santa Cecilia,da Rocha de Barbosa,AP,90931141,43689.59,Cartão de Crédito,6,Mastercard,Site da Empresa,5,,18.4,48,,Eduardo Costa
CLI523,Apollo Casa Grande,2023-09-20,Comercial,"Aeroporto Melo, 980",Vila Sesc,Novais,AL,28038181,36102.0,Financiamento Bancário,60,Caixa Econômica Federal,Feira/Evento,4,,3.0,7,,Ana Clara
CLI524,Thiago Aragão,2023-06-26,Residencial,"Lago Leonardo Duarte, 1768",Vitoria Da Conquista,Ferreira Alegre,MG,51322-500,74415.45,Boleto,0,,Parceria,4,Temporibus odio id modi deserunt sapiente dolorum.,18.4,50,,Fernanda Lima
CLI525,Isis Araújo,2025-04-17,Residencial,"Jardim Castro, 1919",Vila Santo Antônio,Rocha Alegre,GO,18912-863,69190.57,À Vista,0,,Indicação,1,Ad voluptates a neque officiis alias ipsum.,12.1,35,Ravi Monteiro,Diana Santos
CLI526,Cecília Mendonça,2024-05-18,Residencial,"Parque de Cunha, 1911",Aeroporto,Moraes das Flores,AL,78952-568,43761.83,Boleto,0,,Feira/Evento,2,Nobis ea accusamus quo perspiciatis occaecati dolor corporis.,8.1,23,,Diana Santos
CLI527,Guilherme da Conceição,2024-09-07,Comercial,"Jardim de Fogaça, 1604",Marajó,Sampaio,MT,54049051,65898.71,À Vista,0,,Site da Empresa,2,,16.1,55,,Diana Santos
CLI528,Maysa Vasconcelos,2024-07-16,Comercial,"Ladeira de Martins, 425",Conjunto Taquaril,Fernandes de Casa Grande,MA,25360555,42911.09,Boleto,0,,Feira/Evento,5,Iusto quo distinctio fuga quae esse illo veniam.,18.8,50,,Carlos Oliveira
CLI529,Sra. Maria Eduarda Cassiano,2024-04-25,Residencial,"Núcleo de Costela, 982",Confisco,Nogueira da Praia,SC,51242690,45835.43,Boleto,0,,Google,4,Deleniti natus eligendi neque dicta.,19.8,51,,Fernanda Lima
CLI530,Alexandre da Cunha,2024-09-21,Industrial,"Loteamento Yuri da Mota, 1616",Sport Club,Ribeiro,PB,53937-770,6795.95,Cartão de Crédito,12,Mastercard,Google,3,Nisi veritatis laboriosam quod consequatur dolores dolore.,12.0,40,,Fernanda Lima
CLI531,Gael Henrique Abreu,2024-12-07,Residencial,"Rodovia de Gonçalves, 1773",Novo Ouro Preto,Pimenta,GO,33910616,68978.0,Boleto,0,,Indicação,4,,11.5,38,Clarice Ramos,Carlos Oliveira
CLI532,Srta. Zoe Melo,2024-03-06,Comercial,"Praça Joaquim Cunha, 324",Vila Nova Dos Milionarios,Pires,TO,45586-956,58789.91,Cartão de Crédito,9,Mastercard,Site da Empresa,3,Repellendus repudiandae cum cum et commodi.,9.3,32,,Fernanda Lima
CLI533,Maria Alice Correia,2023-08-16,Rural,"Rua Cardoso, 1015",Vila Trinta E Um De Março,da Luz das Pedras,SC,31987-664,40706.98,Financiamento Bancário,36,Caixa Econômica Federal,Mídias Sociais,1,Ea quos iste quae voluptates totam aspernatur quam.,11.4,30,,Ana Clara
CLI534,Benjamim Carvalho,2025-05-07,Residencial,"Condomínio Agatha Sales, 1689",Caiçara - Adelaide,Casa Grande,PI,33188651,59858.99,Boleto,0,,Indicação,3,,16.1,48,Anna Liz Cardoso,Fernanda Lima
CLI535,Heitor Rocha,2024-09-25,Comercial,"Favela Benjamim Abreu, 889",Laranjeiras,Aparecida de Rocha,SP,46352-707,46138.47,Cartão de Crédito,9,Visa,Mídias Sociais,1,,9.9,27,,Fernanda Lima
CLI536,João Lucas Novais,2024-01-18,Rural,"Ladeira de da Mata, 1900",Jatobá,Fonseca,SC,67652939,25237.98,Financiamento Bancário,24,Bradesco,Google,5,Sequi nesciunt aut amet facilis dolorem.,3.5,11,,Bruno Silva
CLI537,Allana da Paz,2024-11-13,Residencial,"Lagoa Ana Vitória Nascimento, 1799",Brasil Industrial,Albuquerque do Amparo,SC,88499-852,56403.36,Financiamento Bancário,84,Sicoob,Site da Empresa,2,Veniam veritatis illum provident perspiciatis est vero nam.,4.1,13,,Bruno Silva
CLI538,Miguel da Cunha,2025-03-22,Comercial,"Trecho de Nunes, 655",Vila Piratininga,Leão,PR,07628-782,26868.01,Cartão de Crédito,3,Visa,Outro,4,Iure repudiandae velit corporis quas.,18.7,50,,Eduardo Costa
CLI539,Dr. Enrico Melo,2023-06-08,Comercial,"Estação Aragão, 158",Alto Dos Pinheiros,da Cruz,PE,40174290,33621.78,À Vista,0,,Indicação,4,Repudiandae qui qui velit exercitationem voluptatum.,16.7,47,João Gabriel da Luz,Fernanda Lima
CLI540,Agatha Guerra,2023-07-22,Rural,"Fazenda de Jesus, 1357",Pousada Santo Antonio,Casa Grande,GO,60050298,58684.68,Boleto,0,,Outro,2,Libero suscipit maiores a cumque saepe nulla.,8.4,27,,Carlos Oliveira
